,Salary,Franchise,Lg,From,To,Yrs,G,W,L,PCT,Plyfs,Div,Conf,Champ
1,34682550,Atlanta Hawks,NBA,1950,2018,69,5470,2717,2753,0.497,46,11,0,1
2,33285709,Boston Celtics,NBA/BAA,1947,2018,72,5642,3329,2313,0.59,55,31,9,17
3,31269231,Brooklyn Nets,NBA/ABA,1968,2018,51,4140,1782,2358,0.43,26,5,2,2
4,29727900,Charlotte Hornets,NBA,1989,2018,28,2248,988,1260,0.44,10,0,0,0
5,29512900,Chicago Bulls,NBA,1967,2018,52,4215,2183,2032,0.518,35,9,6,6
6,28703704,Cleveland Cavaliers,NBA,1971,2018,48,3888,1829,2059,0.47,22,7,4,1
7,28530608,Dallas Mavericks,NBA,1981,2018,38,3068,1539,1529,0.502,21,3,2,1
8,28530608,Denver Nuggets,NBA/ABA,1968,2018,51,4140,2062,2078,0.498,33,10,0,0
9,28299399,Detroit Pistons,NBA/BAA,1949,2018,70,5532,2692,2840,0.487,41,11,5,3
10,27739975,Golden State Warriors,NBA/BAA,1947,2018,72,5638,2715,2923,0.482,34,11,4,5
11,27734405,Houston Rockets,NBA,1968,2018,51,4134,2172,1962,0.525,32,6,4,2
12,26243760,Indiana Pacers,NBA/ABA,1968,2018,51,4139,2123,2016,0.513,34,9,1,3
13,26153057,Los Angeles Clippers,NBA,1971,2018,48,3888,1562,2326,0.402,13,2,0,0
14,25686667,Los Angeles Lakers,NBA/BAA,1949,2018,70,5533,3296,2237,0.596,60,32,18,16
15,25289390,Memphis Grizzlies,NBA,1996,2018,23,1838,759,1079,0.413,10,0,0,0
16,2.50E+07,Miami Heat,NBA,1989,2018,30,2412,1255,1157,0.52,20,13,5,3
17,24773250,Milwaukee Bucks,NBA,1969,2018,50,4052,2069,1983,0.511,30,13,2,1
18,24599495,Minnesota Timberwolves,NBA,1990,2018,29,2330,925,1405,0.397,9,1,0,0
19,23962573,New Orleans Pelicans,NBA,2003,2018,16,1296,610,686,0.471,7,1,0,0
20,23775506,New York Knicks,NBA/BAA,1947,2018,72,5639,2761,2878,0.49,42,8,4,2
21,23775506,Oklahoma City Thunder,NBA,1968,2018,51,4134,2234,1900,0.54,30,11,4,1
22,23775506,Orlando Magic,NBA,1990,2018,29,2330,1116,1214,0.479,14,5,2,0
23,23775506,Philadelphia 76ers,NBA,1950,2018,69,5468,2806,2662,0.513,48,11,5,3
24,23500000,Phoenix Suns,NBA,1969,2018,50,4052,2167,1885,0.535,29,6,2,0
25,23112004,Portland Trail Blazers,NBA,1971,2018,48,3888,2081,1807,0.535,34,6,3,1
26,23112004,Sacramento Kings,NBA/BAA,1949,2018,70,5533,2523,3010,0.456,29,5,0,1
27,2.30E+07,San Antonio Spurs,NBA/ABA,1968,2018,51,4140,2492,1648,0.602,46,22,6,5
28,22642350,Toronto Raptors,NBA,1996,2018,23,1838,844,994,0.459,10,5,0,0
29,22642350,Utah Jazz,NBA,1975,2018,44,3560,1914,1646,0.538,27,9,2,0
30,22642350,Washington Wizards,NBA,1962,2018,57,4615,2096,2519,0.454,29,8,4,1
31,22642350,,,,,,,,,,,,,
32,22471910,,,,,,,,,,,,,
33,22471910,,,,,,,,,,,,,
34,22434783,,,,,,,,,,,,,
35,21974719,,,,,,,,,,,,,
36,21461010,,,,,,,,,,,,,
37,2.10E+07,,,,,,,,,,,,,
38,20566802,,,,,,,,,,,,,
39,20559599,,,,,,,,,,,,,
40,20061729,,,,,,,,,,,,,
41,2.00E+07,,,,,,,,,,,,,
42,19578455,,,,,,,,,,,,,
43,19508958,,,,,,,,,,,,,
44,19332500,,,,,,,,,,,,,
45,19301070,,,,,,,,,,,,,
46,1.90E+07,,,,,,,,,,,,,
47,18868625,,,,,,,,,,,,,
48,18868625,,,,,,,,,,,,,
49,18063850,,,,,,,,,,,,,
50,18063850,,,,,,,,,,,,,
51,17884176,,,,,,,,,,,,,
52,17884176,,,,,,,,,,,,,
53,17826150,,,,,,,,,,,,,
54,17765000,,,,,,,,,,,,,
55,17745894,,,,,,,,,,,,,
56,17190000,,,,,,,,,,,,,
57,17131148,,,,,,,,,,,,,
58,17000450,,,,,,,,,,,,,
59,1.70E+07,,,,,,,,,,,,,
60,1.70E+07,,,,,,,,,,,,,
61,16910113,,,,,,,,,,,,,
62,16698103,,,,,,,,,,,,,
63,16661641,,,,,,,,,,,,,
64,16500000,,,,,,,,,,,,,
65,16400000,,,,,,,,,,,,,
66,16400000,,,,,,,,,,,,,
67,1.60E+07,,,,,,,,,,,,,
68,1.60E+07,,,,,,,,,,,,,
69,1.60E+07,,,,,,,,,,,,,
70,15550000,,,,,,,,,,,,,
71,15500000,,,,,,,,,,,,,
72,15460675,,,,,,,,,,,,,
73,15453126,,,,,,,,,,,,,
74,15280000,,,,,,,,,,,,,
75,14814815,,,,,,,,,,,,,
76,14800000,,,,,,,,,,,,,
77,14796348,,,,,,,,,,,,,
78,14500000,,,,,,,,,,,,,
79,14275000,,,,,,,,,,,,,
80,14136364,,,,,,,,,,,,,
81,14112360,,,,,,,,,,,,,
82,14100000,,,,,,,,,,,,,
83,14041096,,,,,,,,,,,,,
84,1.40E+07,,,,,,,,,,,,,
85,13954000,,,,,,,,,,,,,
86,13788500,,,,,,,,,,,,,
87,13760000,,,,,,,,,,,,,
88,13618750,,,,,,,,,,,,,
89,13168750,,,,,,,,,,,,,
90,1.30E+07,,,,,,,,,,,,,
91,1.30E+07,,,,,,,,,,,,,
92,12943020,,,,,,,,,,,,,
93,12921348,,,,,,,,,,,,,
94,12782609,,,,,,,,,,,,,
95,12584270,,,,,,,,,,,,,
96,12500000,,,,,,,,,,,,,
97,12500000,,,,,,,,,,,,,
98,12307692,,,,,,,,,,,,,
99,12250000,,,,,,,,,,,,,
100,12236535,,,,,,,,,,,,,
101,12016854,,,,,,,,,,,,,
102,1.20E+07,,,,,,,,,,,,,
103,1.20E+07,,,,,,,,,,,,,
104,1.20E+07,,,,,,,,,,,,,
105,11825000,,,,,,,,,,,,,
106,11747890,,,,,,,,,,,,,
107,11600000,,,,,,,,,,,,,
108,11562500,,,,,,,,,,,,,
109,11422536,,,,,,,,,,,,,
110,1.10E+07,,,,,,,,,,,,,
111,1.10E+07,,,,,,,,,,,,,
112,10942762,,,,,,,,,,,,,
113,10845506,,,,,,,,,,,,,
114,10714286,,,,,,,,,,,,,
115,10607169,,,,,,,,,,,,,
116,10595505,,,,,,,,,,,,,
117,10500000,,,,,,,,,,,,,
118,10500000,,,,,,,,,,,,,
119,10500000,,,,,,,,,,,,,
120,10497319,,,,,,,,,,,,,
121,10337079,,,,,,,,,,,,,
122,10162922,,,,,,,,,,,,,
123,1.00E+07,,,,,,,,,,,,,
124,1.00E+07,,,,,,,,,,,,,
125,1.00E+07,,,,,,,,,,,,,
126,9904495,,,,,,,,,,,,,
127,9821429,,,,,,,,,,,,,
128,9769821,,,,,,,,,,,,,
129,9607500,,,,,,,,,,,,,
130,9505000,,,,,,,,,,,,,
131,9470614,,,,,,,,,,,,,
132,9259259,,,,,,,,,,,,,
133,9125000,,,,,,,,,,,,,
134,9003125,,,,,,,,,,,,,
135,9.00E+06,,,,,,,,,,,,,
136,8808989,,,,,,,,,,,,,
137,8533333,,,,,,,,,,,,,
138,8445024,,,,,,,,,,,,,
139,8406000,,,,,,,,,,,,,
140,8393000,,,,,,,,,,,,,
141,8.00E+06,,,,,,,,,,,,,
142,8.00E+06,,,,,,,,,,,,,
143,8.00E+06,,,,,,,,,,,,,
144,7936509,,,,,,,,,,,,,
145,7843500,,,,,,,,,,,,,
146,7692308,,,,,,,,,,,,,
147,7630000,,,,,,,,,,,,,
148,7590035,,,,,,,,,,,,,
149,7579366,,,,,,,,,,,,,
150,7574322,,,,,,,,,,,,,
151,7464912,,,,,,,,,,,,,
152,7420912,,,,,,,,,,,,,
153,7420912,,,,,,,,,,,,,
154,7319035,,,,,,,,,,,,,
155,7300000,,,,,,,,,,,,,
156,7250000,,,,,,,,,,,,,
157,7026240,,,,,,,,,,,,,
158,7.00E+06,,,,,,,,,,,,,
159,7.00E+06,,,,,,,,,,,,,
160,7.00E+06,,,,,,,,,,,,,
161,7.00E+06,,,,,,,,,,,,,
162,6796117,,,,,,,,,,,,,
163,6782392,,,,,,,,,,,,,
164,6666667,,,,,,,,,,,,,
165,6655325,,,,,,,,,,,,,
166,6352531,,,,,,,,,,,,,
167,6306060,,,,,,,,,,,,,
168,6300000,,,,,,,,,,,,,
169,6286560,,,,,,,,,,,,,
170,6270000,,,,,,,,,,,,,
171,6261395,,,,,,,,,,,,,
172,6216840,,,,,,,,,,,,,
173,6168840,,,,,,,,,,,,,
174,6100266,,,,,,,,,,,,,
175,6021175,,,,,,,,,,,,,
176,6021175,,,,,,,,,,,,,
177,6.00E+06,,,,,,,,,,,,,
178,6.00E+06,,,,,,,,,,,,,
179,6.00E+06,,,,,,,,,,,,,
180,6.00E+06,,,,,,,,,,,,,
181,6.00E+06,,,,,,,,,,,,,
182,6.00E+06,,,,,,,,,,,,,
183,5881260,,,,,,,,,,,,,
184,5881260,,,,,,,,,,,,,
185,5725000,,,,,,,,,,,,,
186,5645400,,,,,,,,,,,,,
187,5562360,,,,,,,,,,,,,
188,5519400,,,,,,,,,,,,,
189,5513514,,,,,,,,,,,,,
190,5504420,,,,,,,,,,,,,
191,5500000,,,,,,,,,,,,,
192,5400000,,,,,,,,,,,,,
193,5250000,,,,,,,,,,,,,
194,5225000,,,,,,,,,,,,,
195,5200000,,,,,,,,,,,,,
196,5192000,,,,,,,,,,,,,
197,5192000,,,,,,,,,,,,,
198,5179760,,,,,,,,,,,,,
199,5090040,,,,,,,,,,,,,
200,5.00E+06,,,,,,,,,,,,,
201,5.00E+06,,,,,,,,,,,,,
202,5.00E+06,,,,,,,,,,,,,
203,5.00E+06,,,,,,,,,,,,,
204,4995120,,,,,,,,,,,,,
205,4992385,,,,,,,,,,,,,
206,4961798,,,,,,,,,,,,,
207,4956480,,,,,,,,,,,,,
208,4736050,,,,,,,,,,,,,
209,4666500,,,,,,,,,,,,,
210,4615385,,,,,,,,,,,,,
211,4609200,,,,,,,,,,,,,
212,4538020,,,,,,,,,,,,,
213,4503600,,,,,,,,,,,,,
214,4468800,,,,,,,,,,,,,
215,4402546,,,,,,,,,,,,,
216,4328000,,,,,,,,,,,,,
217,4328000,,,,,,,,,,,,,
218,4328000,,,,,,,,,,,,,
219,4187599,,,,,,,,,,,,,
220,4187599,,,,,,,,,,,,,
221,4186320,,,,,,,,,,,,,
222,4180000,,,,,,,,,,,,,
223,4149242,,,,,,,,,,,,,
224,4087500,,,,,,,,,,,,,
225,4078320,,,,,,,,,,,,,
226,4046760,,,,,,,,,,,,,
227,4.00E+06,,,,,,,,,,,,,
228,3949999,,,,,,,,,,,,,
229,3903900,,,,,,,,,,,,,
230,3853931,,,,,,,,,,,,,
231,3821640,,,,,,,,,,,,,
232,3807146,,,,,,,,,,,,,
233,3704160,,,,,,,,,,,,,
234,3675480,,,,,,,,,,,,,
235,3533333,,,,,,,,,,,,,
236,3505233,,,,,,,,,,,,,
237,3501120,,,,,,,,,,,,,
238,3477600,,,,,,,,,,,,,
239,3477600,,,,,,,,,,,,,
240,3408520,,,,,,,,,,,,,
241,3381480,,,,,,,,,,,,,
242,3355320,,,,,,,,,,,,,
243,3332340,,,,,,,,,,,,,
244,3300000,,,,,,,,,,,,,
245,3294994,,,,,,,,,,,,,
246,3290000,,,,,,,,,,,,,
247,3290000,,,,,,,,,,,,,
248,3290000,,,,,,,,,,,,,
249,3290000,,,,,,,,,,,,,
250,3218280,,,,,,,,,,,,,
251,3202217,,,,,,,,,,,,,
252,3200000,,,,,,,,,,,,,
253,3152931,,,,,,,,,,,,,
254,3097800,,,,,,,,,,,,,
255,3073800,,,,,,,,,,,,,
256,3057240,,,,,,,,,,,,,
257,3028410,,,,,,,,,,,,,
258,3028410,,,,,,,,,,,,,
259,3025035,,,,,,,,,,,,,
260,3.00E+06,,,,,,,,,,,,,
261,3.00E+06,,,,,,,,,,,,,
262,2947305,,,,,,,,,,,,,
263,2947305,,,,,,,,,,,,,
264,2904480,,,,,,,,,,,,,
265,2847600,,,,,,,,,,,,,
266,2844429,,,,,,,,,,,,,
267,2825640,,,,,,,,,,,,,
268,2759280,,,,,,,,,,,,,
269,2705040,,,,,,,,,,,,,
270,2700000,,,,,,,,,,,,,
271,2684160,,,,,,,,,,,,,
272,2642857,,,,,,,,,,,,,
273,2621280,,,,,,,,,,,,,
274,2569920,,,,,,,,,,,,,
275,2550055,,,,,,,,,,,,,
276,2550000,,,,,,,,,,,,,
277,2500000,,,,,,,,,,,,,
278,2500000,,,,,,,,,,,,,
279,2500000,,,,,,,,,,,,,
280,2500000,,,,,,,,,,,,,
281,2490360,,,,,,,,,,,,,
282,2451225,,,,,,,,,,,,,
283,2442455,,,,,,,,,,,,,
284,2441400,,,,,,,,,,,,,
285,2422560,,,,,,,,,,,,,
286,2422560,,,,,,,,,,,,,
287,2386864,,,,,,,,,,,,,
288,2365560,,,,,,,,,,,,,
289,2361360,,,,,,,,,,,,,
290,2334520,,,,,,,,,,,,,
291,2328652,,,,,,,,,,,,,
292,2328652,,,,,,,,,,,,,
293,2328652,,,,,,,,,,,,,
294,2328652,,,,,,,,,,,,,
295,2328652,,,,,,,,,,,,,
296,2328652,,,,,,,,,,,,,
297,2328652,,,,,,,,,,,,,
298,2328652,,,,,,,,,,,,,
299,2328652,,,,,,,,,,,,,
300,2328652,,,,,,,,,,,,,
301,2328652,,,,,,,,,,,,,
302,2328652,,,,,,,,,,,,,
303,2319360,,,,,,,,,,,,,
304,2301360,,,,,,,,,,,,,
305,2300000,,,,,,,,,,,,,
306,2262871,,,,,,,,,,,,,
307,2247480,,,,,,,,,,,,,
308,2247480,,,,,,,,,,,,,
309,2245400,,,,,,,,,,,,,
310,2203440,,,,,,,,,,,,,
311,2186400,,,,,,,,,,,,,
312,2183934,,,,,,,,,,,,,
313,2151704,,,,,,,,,,,,,
314,2135040,,,,,,,,,,,,,
315,2133542,,,,,,,,,,,,,
316,2116955,,,,,,,,,,,,,
317,2116955,,,,,,,,,,,,,
318,2116955,,,,,,,,,,,,,
319,2116955,,,,,,,,,,,,,
320,2116955,,,,,,,,,,,,,
321,2116955,,,,,,,,,,,,,
322,2116955,,,,,,,,,,,,,
323,2116955,,,,,,,,,,,,,
324,2116955,,,,,,,,,,,,,
325,2106470,,,,,,,,,,,,,
326,2106407,,,,,,,,,,,,,
327,2100000,,,,,,,,,,,,,
328,2093040,,,,,,,,,,,,,
329,2076840,,,,,,,,,,,,,
330,2028360,,,,,,,,,,,,,
331,2.00E+06,,,,,,,,,,,,,
332,2.00E+06,,,,,,,,,,,,,
333,1988520,,,,,,,,,,,,,
334,1974159,,,,,,,,,,,,,
335,1936920,,,,,,,,,,,,,
336,1913345,,,,,,,,,,,,,
337,1889040,,,,,,,,,,,,,
338,1881250,,,,,,,,,,,,,
339,1874400,,,,,,,,,,,,,
340,1865547,,,,,,,,,,,,,
341,1859400,,,,,,,,,,,,,
342,1794600,,,,,,,,,,,,,
343,1785000,,,,,,,,,,,,,
344,1780800,,,,,,,,,,,,,
345,1739333,,,,,,,,,,,,,
346,1713840,,,,,,,,,,,,,
347,1713720,,,,,,,,,,,,,
348,1709538,,,,,,,,,,,,,
349,1709538,,,,,,,,,,,,,
350,1709538,,,,,,,,,,,,,
351,1700640,,,,,,,,,,,,,
352,1662500,,,,,,,,,,,,,
353,1645200,,,,,,,,,,,,,
354,1645200,,,,,,,,,,,,,
355,1645200,,,,,,,,,,,,,
356,1632480,,,,,,,,,,,,,
357,1579440,,,,,,,,,,,,,
358,1579440,,,,,,,,,,,,,
359,1577320,,,,,,,,,,,,,
360,1577230,,,,,,,,,,,,,
361,1577230,,,,,,,,,,,,,
362,1577230,,,,,,,,,,,,,
363,1577230,,,,,,,,,,,,,
364,1567200,,,,,,,,,,,,,
365,1524305,,,,,,,,,,,,,
366,1524305,,,,,,,,,,,,,
367,1524305,,,,,,,,,,,,,
368,1524305,,,,,,,,,,,,,
369,1524305,,,,,,,,,,,,,
370,1524305,,,,,,,,,,,,,
371,1524305,,,,,,,,,,,,,
372,1524305,,,,,,,,,,,,,
373,1524305,,,,,,,,,,,,,
374,1524305,,,,,,,,,,,,,
375,1524305,,,,,,,,,,,,,
376,1516320,,,,,,,,,,,,,
377,1504560,,,,,,,,,,,,,
378,1500000,,,,,,,,,,,,,
379,1471382,,,,,,,,,,,,,
380,1471382,,,,,,,,,,,,,
381,1471382,,,,,,,,,,,,,
382,1471382,,,,,,,,,,,,,
383,1471382,,,,,,,,,,,,,
384,1471382,,,,,,,,,,,,,
385,1471382,,,,,,,,,,,,,
386,1471382,,,,,,,,,,,,,
387,1471382,,,,,,,,,,,,,
388,1471382,,,,,,,,,,,,,
389,1471382,,,,,,,,,,,,,
390,1471382,,,,,,,,,,,,,
391,1471382,,,,,,,,,,,,,
392,1471382,,,,,,,,,,,,,
393,1471382,,,,,,,,,,,,,
394,1471382,,,,,,,,,,,,,
395,1471382,,,,,,,,,,,,,
396,1471382,,,,,,,,,,,,,
397,1471382,,,,,,,,,,,,,
398,1465920,,,,,,,,,,,,,
399,1465920,,,,,,,,,,,,,
400,1435750,,,,,,,,,,,,,
401,1423560,,,,,,,,,,,,,
402,1414920,,,,,,,,,,,,,
403,1404600,,,,,,,,,,,,,
404,1394520,,,,,,,,,,,,,
405,1386600,,,,,,,,,,,,,
406,1360305,,,,,,,,,,,,,
407,1331160,,,,,,,,,,,,,
408,1312611,,,,,,,,,,,,,
409,1312611,,,,,,,,,,,,,
410,1312611,,,,,,,,,,,,,
411,1312611,,,,,,,,,,,,,
412,1312611,,,,,,,,,,,,,
413,1312611,,,,,,,,,,,,,
414,1312611,,,,,,,,,,,,,
415,1312611,,,,,,,,,,,,,
416,1312611,,,,,,,,,,,,,
417,1312611,,,,,,,,,,,,,
418,1312611,,,,,,,,,,,,,
419,1312611,,,,,,,,,,,,,
420,1312611,,,,,,,,,,,,,
421,1312611,,,,,,,,,,,,,
422,1312611,,,,,,,,,,,,,
423,1312611,,,,,,,,,,,,,
424,1312611,,,,,,,,,,,,,
425,1312611,,,,,,,,,,,,,
426,1312611,,,,,,,,,,,,,
427,1312611,,,,,,,,,,,,,
428,1312611,,,,,,,,,,,,,
429,1312611,,,,,,,,,,,,,
430,1312611,,,,,,,,,,,,,
431,1312611,,,,,,,,,,,,,
432,1312611,,,,,,,,,,,,,
433,1312611,,,,,,,,,,,,,
434,1312611,,,,,,,,,,,,,
435,1312611,,,,,,,,,,,,,
436,1312611,,,,,,,,,,,,,
437,1312611,,,,,,,,,,,,,
438,1312611,,,,,,,,,,,,,
439,1312611,,,,,,,,,,,,,
440,1312611,,,,,,,,,,,,,
441,1312611,,,,,,,,,,,,,
442,1312611,,,,,,,,,,,,,
443,1312611,,,,,,,,,,,,,
444,1291892,,,,,,,,,,,,,
445,1184385,,,,,,,,,,,,,
446,1167333,,,,,,,,,,,,,
447,1100000,,,,,,,,,,,,,
448,1096080,,,,,,,,,,,,,
449,1069308,,,,,,,,,,,,,
450,1050000,,,,,,,,,,,,,
451,1035200,,,,,,,,,,,,,
452,1.00E+06,,,,,,,,,,,,,
453,1.00E+06,,,,,,,,,,,,,
454,950000,,,,,,,,,,,,,
455,950000,,,,,,,,,,,,,
456,950000,,,,,,,,,,,,,
457,947248,,,,,,,,,,,,,
458,945126,,,,,,,,,,,,,
459,830000,,,,,,,,,,,,,
460,815615,,,,,,,,,,,,,
461,815615,,,,,,,,,,,,,
462,815615,,,,,,,,,,,,,
463,815615,,,,,,,,,,,,,
464,815615,,,,,,,,,,,,,
465,815615,,,,,,,,,,,,,
466,815615,,,,,,,,,,,,,
467,815615,,,,,,,,,,,,,
468,815615,,,,,,,,,,,,,
469,815615,,,,,,,,,,,,,
470,815615,,,,,,,,,,,,,
471,815615,,,,,,,,,,,,,
472,815615,,,,,,,,,,,,,
473,815615,,,,,,,,,,,,,
474,815615,,,,,,,,,,,,,
475,815615,,,,,,,,,,,,,
476,815615,,,,,,,,,,,,,
477,815615,,,,,,,,,,,,,
478,789725,,,,,,,,,,,,,
479,784160,,,,,,,,,,,,,
480,778668,,,,,,,,,,,,,
481,776217,,,,,,,,,,,,,
482,749905,,,,,,,,,,,,,
483,748160,,,,,,,,,,,,,
484,679919,,,,,,,,,,,,,
485,650000,,,,,,,,,,,,,
486,517220,,,,,,,,,,,,,
487,510921,,,,,,,,,,,,,
488,502328,,,,,,,,,,,,,
489,5.00E+05,,,,,,,,,,,,,
490,5.00E+05,,,,,,,,,,,,,
491,5.00E+05,,,,,,,,,,,,,
492,452059,,,,,,,,,,,,,
493,333334,,,,,,,,,,,,,
494,333334,,,,,,,,,,,,,
495,315760,,,,,,,,,,,,,
496,3.00E+05,,,,,,,,,,,,,
497,3.00E+05,,,,,,,,,,,,,
498,263124,,,,,,,,,,,,,
499,250000,,,,,,,,,,,,,
500,239204,,,,,,,,,,,,,
501,222476,,,,,,,,,,,,,
502,2.00E+05,,,,,,,,,,,,,
503,172552,,,,,,,,,,,,,
504,172238,,,,,,,,,,,,,
505,172238,,,,,,,,,,,,,
506,166258,,,,,,,,,,,,,
507,148318,,,,,,,,,,,,,
508,148318,,,,,,,,,,,,,
509,140902,,,,,,,,,,,,,
510,119602,,,,,,,,,,,,,
511,119010,,,,,,,,,,,,,
512,104059,,,,,,,,,,,,,
513,1.00E+05,,,,,,,,,,,,,
514,1.00E+05,,,,,,,,,,,,,
515,1.00E+05,,,,,,,,,,,,,
516,1.00E+05,,,,,,,,,,,,,
517,92858,,,,,,,,,,,,,
518,92160,,,,,,,,,,,,,
519,92160,,,,,,,,,,,,,
520,92160,,,,,,,,,,,,,
521,92160,,,,,,,,,,,,,
522,92160,,,,,,,,,,,,,
523,92160,,,,,,,,,,,,,
524,92160,,,,,,,,,,,,,
525,87552,,,,,,,,,,,,,
526,83129,,,,,,,,,,,,,
527,83129,,,,,,,,,,,,,
528,83129,,,,,,,,,,,,,
529,74159,,,,,,,,,,,,,
530,74159,,,,,,,,,,,,,
531,74159,,,,,,,,,,,,,
532,74159,,,,,,,,,,,,,
533,53465,,,,,,,,,,,,,
534,50000,,,,,,,,,,,,,
535,50000,,,,,,,,,,,,,
536,50000,,,,,,,,,,,,,
537,50000,,,,,,,,,,,,,
538,50000,,,,,,,,,,,,,
539,50000,,,,,,,,,,,,,
540,50000,,,,,,,,,,,,,
541,50000,,,,,,,,,,,,,
542,50000,,,,,,,,,,,,,
543,50000,,,,,,,,,,,,,
544,50000,,,,,,,,,,,,,
545,50000,,,,,,,,,,,,,
546,50000,,,,,,,,,,,,,
547,50000,,,,,,,,,,,,,
548,50000,,,,,,,,,,,,,
549,50000,,,,,,,,,,,,,
550,50000,,,,,,,,,,,,,
551,50000,,,,,,,,,,,,,
552,50000,,,,,,,,,,,,,
553,50000,,,,,,,,,,,,,
554,50000,,,,,,,,,,,,,
555,50000,,,,,,,,,,,,,
556,50000,,,,,,,,,,,,,
557,50000,,,,,,,,,,,,,
558,50000,,,,,,,,,,,,,
559,50000,,,,,,,,,,,,,
560,46080,,,,,,,,,,,,,
561,46080,,,,,,,,,,,,,
562,46080,,,,,,,,,,,,,
563,46080,,,,,,,,,,,,,
564,46080,,,,,,,,,,,,,
565,46080,,,,,,,,,,,,,
566,46080,,,,,,,,,,,,,
567,26773,,,,,,,,,,,,,
568,25000,,,,,,,,,,,,,
569,25000,,,,,,,,,,,,,
570,25000,,,,,,,,,,,,,
571,25000,,,,,,,,,,,,,
572,22248,,,,,,,,,,,,,
573,17224,,,,,,,,,,,,,